comparison,reference,comparator,metric,positive_means,cluster,paired_benefit,ci_low,ci_high,positive_benefit_probability,n_clusters,n_windows,bootstrap_samples,evaluation_split,source_commit,comparator_source_commit
TIDE vs EMOD scratch,TIDE,EMOD scratch,Clark,TIDE_better,dyad_group,0.0091304906766962,0.0076158777406347,0.0106714588076096,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD scratch,TIDE,EMOD scratch,Canberra,TIDE_better,dyad_group,0.0340075763137616,0.027650602751432,0.0399588267809178,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD scratch,TIDE,EMOD scratch,KL,TIDE_better,dyad_group,0.0025270082902994,0.0016461399307506,0.0034044832235923,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD scratch,TIDE,EMOD scratch,Cosine,TIDE_better,dyad_group,0.0022169685237464,0.0015401688274784,0.0028921209367509,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD scratch,TIDE,EMOD scratch,Intersection,TIDE_better,dyad_group,0.0041122321712921,0.0033517052577297,0.0048595746749272,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,StaticAware_SRCC,TIDE_better,dyad_group,0.1382653379302258,0.1271835229824317,0.1490061671633125,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,StaticAware_PCC,TIDE_better,dyad_group,0.1535276350720401,0.1419458495116688,0.1646680713291118,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,StaticAware_KendallTauB,TIDE_better,dyad_group,0.1144958427620602,0.105338792067796,0.123607521385554,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,TimeAugmented_Discrete_Frechet,TIDE_better,dyad_group,0.4068783822168378,0.3655435350057961,0.4482447688048349,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,TWED_lambda1_nu1,TIDE_better,dyad_group,4.016879214423526,3.731751546480845,4.298145959407842,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
