method,metric,mean,standard_deviation,evaluation_split,aggregation_definition,folds,seeds,source_commit
EEGNet,Cosine,0.8307081735071922,0.0037321258385387,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EEGNet,Intersection,0.7207550506099181,0.0048254463586035,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EmT,Chebyshev,0.144612572988309,3.196200948486634e-05,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EmT,Clark,0.9928555295830276,0.0040362004640829,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EmT,Canberra,2.586188736325974,0.0174301104236495,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EmT,KL,0.2291017962775311,0.0004840094211601,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EmT,Cosine,0.8361718245589337,0.0007001986259765,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EmT,Intersection,0.7299534305348603,0.0017894962456427,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
TSception,Chebyshev,0.1432202337784987,0.0003608858604796,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
TSception,Clark,0.9944604151175386,0.0011111786162246,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
TSception,Canberra,2.606454081204012,0.0037344117504279,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
TSception,KL,0.2280442095738372,0.0007905246335844,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
TSception,Cosine,0.8371061721118082,0.0005161656452832,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
TSception,Intersection,0.7292450057986124,0.0003958451988486,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EEG Deformer,Chebyshev,0.1449462670764384,0.0003089086794371,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EEG Deformer,Clark,0.999983528029906,0.0100239486316612,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EEG Deformer,Canberra,2.61609538846258,0.0359333026849497,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EEG Deformer,KL,0.2315520857556537,0.0037903552453206,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EEG Deformer,Cosine,0.834294476120963,0.0026620199920935,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EEG Deformer,Intersection,0.7269333671856946,0.0035320527969277,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
CBraMod scratch,Chebyshev,0.1441104081924461,0.0004458791314214,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
CBraMod scratch,Clark,1.0027695742304177,0.0023197045856075,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
CBraMod scratch,Canberra,2.630116986212144,0.0077962164890801,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
CBraMod scratch,KL,0.2308638103075697,0.0002459602839506,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
CBraMod scratch,Cosine,0.8350593874301753,0.0003524623015393,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
CBraMod scratch,Intersection,0.7267005904302919,0.0008474512686062,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
HeLo task adapted,Chebyshev,0.1430828388682141,0.0001975662723345,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
HeLo task adapted,Clark,0.9982347797638016,0.0022382730616372,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
HeLo task adapted,Canberra,2.6187367509734645,0.007017130427826,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
HeLo task adapted,KL,0.229182403841742,0.0005342414988849,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
HeLo task adapted,Cosine,0.8366150319115223,0.000430376212119,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
HeLo task adapted,Intersection,0.7283082172135914,0.000751280194048,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
