method,variant,metric,mean,standard_deviation,fold,seed,n_subject_trials,evaluation_split,aggregation_definition,source_commit
TIDE,full,StaticAware_SRCC,0.1342169008649536,,1,42,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_PCC,0.1508225393438763,,1,42,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TimeAugmented_Discrete_Frechet,2.0572345645345984,,1,42,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,ZMAE,0.9333427089396454,,1,42,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,KL,0.2201804090898585,,1,42,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_SRCC,0.1228934010543453,,2,42,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_PCC,0.1373115049994792,,2,42,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TimeAugmented_Discrete_Frechet,2.1158099636411607,,2,42,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,ZMAE,0.9657502397507504,,2,42,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,KL,0.2202593467563507,,2,42,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_SRCC,0.1094275832818966,,3,42,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_PCC,0.1207628866734752,,3,42,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TimeAugmented_Discrete_Frechet,2.0782375345512945,,3,42,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,ZMAE,0.9386905770646466,,3,42,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,KL,0.2112600639276044,,3,42,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_SRCC,0.1639694694379803,,4,42,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_PCC,0.1776412186915371,,4,42,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TimeAugmented_Discrete_Frechet,1.9069869851127947,,4,42,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,ZMAE,0.9234648294090976,,4,42,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,KL,0.2506969757418809,,4,42,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_SRCC,0.1461122222438375,,0,97,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_PCC,0.1597035098586998,,0,97,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TimeAugmented_Discrete_Frechet,2.0789767020972274,,0,97,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,ZMAE,0.944528469677791,,0,97,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,KL,0.2340424974453553,,0,97,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_SRCC,0.1339854863414163,,1,97,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_PCC,0.1538719674824204,,1,97,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TimeAugmented_Discrete_Frechet,1.9938161142854336,,1,97,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,ZMAE,0.9445783863093988,,1,97,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,KL,0.219631787955285,,1,97,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_SRCC,0.1624572190347841,,2,97,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_PCC,0.1797118618252488,,2,97,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TimeAugmented_Discrete_Frechet,1.980868607100836,,2,97,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,ZMAE,0.9510111544136044,,2,97,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,KL,0.2202842233921407,,2,97,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_SRCC,0.1449927018105554,,3,97,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_PCC,0.1607502082992026,,3,97,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TimeAugmented_Discrete_Frechet,1.971892936077661,,3,97,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,ZMAE,0.9281544016478924,,3,97,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,KL,0.2118677975989916,,3,97,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_SRCC,0.1802620326745276,,4,97,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_PCC,0.192230427070817,,4,97,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TimeAugmented_Discrete_Frechet,1.942661760056628,,4,97,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,ZMAE,0.9114804414126018,,4,97,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,KL,0.2511430211216311,,4,97,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
EMOD scratch,full,StaticAware_SRCC,0.0071287259934535,,0,17,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_PCC,0.0066117223069089,,0,17,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,TimeAugmented_Discrete_Frechet,2.359110110198798,,0,17,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,ZMAE,1.039323490509397,,0,17,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,KL,0.2368983574054425,,0,17,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_SRCC,0.001403237605346,,1,17,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_PCC,0.0012890849476412,,1,17,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,TimeAugmented_Discrete_Frechet,2.4202824890402748,,1,17,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,ZMAE,1.02285434619311,,1,17,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,KL,0.2237508655931057,,1,17,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_SRCC,0.0020897138473562,,2,17,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_PCC,0.002758734183919,,2,17,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,TimeAugmented_Discrete_Frechet,2.371937473402164,,2,17,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,ZMAE,1.0559113499630608,,2,17,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,KL,0.2216736917875963,,2,17,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_SRCC,-0.0023430551906021,,3,17,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_PCC,-0.0025399811047646,,3,17,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,TimeAugmented_Discrete_Frechet,2.3986753132578054,,3,17,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,ZMAE,1.0157035804788803,,3,17,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,KL,0.2126379418790544,,3,17,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_SRCC,-0.0048110745200619,,4,17,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
